#Simulation runs: 5000-5100
#Sensor Centre Position : x0 = 146 	y0 = 12
#Sensor Dimensions : width (x edge-to-edge) = 20 	height (y edge-to-edge) = 20
#All distances in units of mm
#Quadrant Definition: (x,y) : (+,+) := Quad 1 	(-,+) := Quad 2 	(-,-) := Quad 3 	(+,-) := Quad 4.
#Assumed symmetry: The corresponding sensor in each quadrant has been reflected (x,y)->(x_sym,y_sym)=(|x|,|y|) into Quad 1 (or the Quadrant containing (x0,y0)) before taking local coordinates (x_sym-x0,y_sym-y0) to obtain 4-fold increase in statistics.
#Note that where symmetry has been exploited	the original quadrant is specified for each entry	allowing original whole-detector spatial coordinates (x,y) to be reconstructed.
#The unique event number identifies a distinct event (in a distinct run) in the simulation.
#Energy: Energy deposited by the particle generating the hit as it traverses the SciFi composite material. Units of MeV.
#Time: Time of flight	with start at p-p collision within bunch (not the time of bunch centre). Units of ns.
#unq_evt_num	layer	Quadrant	x_sym-x0	y_sym-y0	t_coll	energy
6	4	4	8.0154	5.7065	29.0923	0.2041
6	1	1	-6.7741	2.8949	25.6508	0.2322
6	2	1	2.1324	3.2465	26.3513	0.2740
6	6	1	-8.6806	-4.5054	31.5144	0.2471
6	4	4	-8.0194	-4.4764	29.2460	0.3572
6	1	3	0.1439	-9.2893	26.2584	0.3107
6	3	2	1.6118	-4.4289	28.5063	0.2183
6	4	2	8.4199	-4.2613	29.2064	0.2267
6	3	2	9.0407	4.4328	28.3751	0.2286
6	1	2	-6.1777	6.6666	26.0989	0.2806
6	2	4	-1.1133	2.7739	26.6576	0.2125
6	1	2	-0.1101	-8.7133	26.1816	0.2183
6	2	2	4.6571	-8.6511	26.8816	0.4126
6	2	2	4.8798	-9.0719	26.8823	0.2505
6	1	1	-5.8874	-9.0457	31.1272	1.2751
7	4	2	-5.7846	-3.4276	29.3426	0.2370
7	5	1	2.0539	2.6713	30.4460	0.2220
7	6	1	9.0708	3.2552	31.1462	0.2149
7	1	1	0.5047	-6.0977	26.3057	0.2134
7	1	3	-2.2144	0.4952	26.3398	0.2203
7	2	2	-3.2009	3.5159	27.0096	0.2986
7	4	2	-2.4544	-5.9259	29.2825	0.2337
7	1	3	-2.3517	-9.2994	26.1840	0.2788
7	5	4	4.3685	-7.2464	30.6585	0.1999
7	6	4	1.1482	-6.9790	31.3584	0.2468
7	4	2	-1.2981	-5.9135	29.2828	0.2160
7	4	2	0.2827	7.6445	29.2996	0.2881
7	5	1	2.1288	9.0352	30.5638	0.3229
7	6	1	-4.0838	7.9994	31.2677	0.2528
7	1	2	2.7697	-5.7097	26.0061	0.2049
7	1	3	-1.2366	8.5820	25.9602	0.2387
7	2	3	5.0410	9.1505	26.6603	0.2497
7	1	2	-7.2647	2.1249	25.9600	0.3335
7	2	2	-1.5806	2.5273	26.6601	0.2051
7	2	4	-9.3419	7.2242	26.7444	0.2166
7	3	2	7.9209	6.8024	28.4859	0.3038
7	1	4	-4.1078	-8.3974	26.2133	0.2009
7	2	4	3.8560	-8.3326	26.9136	0.1951
8	2	4	4.8367	4.9169	26.9247	0.2111
8	3	2	-2.2552	6.7727	27.9208	0.2142
8	4	2	8.4268	7.0200	28.6215	0.2704
8	1	3	6.7812	1.2091	26.0997	0.4028
8	5	2	-0.0707	-0.6475	30.9138	0.2108
8	6	2	6.5580	-0.0804	31.6139	0.2122
8	1	3	3.8783	8.5464	27.1889	3.7478
8	2	4	6.6753	-2.0583	26.8671	0.2414
8	3	4	-0.8375	-0.1866	28.6748	0.2020
8	6	3	-4.4700	-3.2263	31.5276	0.2442
8	1	4	6.4732	-6.5743	26.4282	0.2178
8	2	3	-9.5155	8.0581	26.9590	0.4162
8	2	1	-8.9816	5.1495	26.9609	0.5681
8	1	3	-6.1057	-5.3572	26.0604	0.2306
8	2	3	1.4549	-5.2485	26.7607	0.2682
8	1	2	8.7863	-0.2297	26.0615	0.2052
8	3	1	-3.2534	3.6188	28.3709	0.2117
8	4	1	3.3450	3.9912	29.0711	0.2538
8	6	4	4.1150	-1.3427	31.5763	0.3448
8	3	2	-3.8256	-3.7515	28.4577	0.3087
8	4	2	5.1617	-3.5190	29.1582	0.2531
8	5	4	-0.1258	5.4333	30.7824	0.2447
8	4	4	-3.7749	4.6912	29.1679	1.3522
8	6	4	-8.3164	3.1895	31.4749	0.2022
8	1	1	9.8362	-7.6651	26.1642	1.2641
8	1	3	9.2841	-7.9554	26.2213	0.2244
8	5	1	-9.8387	2.8141	30.5775	0.3374
8	6	1	-2.7630	3.1771	31.2777	0.3632
8	5	3	-8.5830	1.0001	30.5528	0.4161
8	5	2	-3.0747	8.0447	30.9138	0.2325
8	6	2	4.8131	9.4865	31.6142	0.3427
8	1	1	0.2986	-5.5142	26.0991	0.2566
8	5	4	1.6963	-4.9768	30.6582	0.2154
